Month,Year,PRODUCTS,Quantity (000 Metric Tonnes),updated_date
February,2023,ATF,622.73,17-06-2023
January,2023,ATF,667.36,17-06-2023
December,2022,ATF,659,17-06-2023
November,2022,ATF,617.63,17-06-2023
October,2022,ATF,615.78,17-06-2023
September,2022,ATF,588.28,17-06-2023
August,2022,ATF,591.69,17-06-2023
July,2022,ATF,578.59,17-06-2023
June,2022,ATF,588.17,17-06-2023
May,2022,ATF,595.73,17-06-2023
April,2022,ATF,552.72,17-06-2023
March,2022,ATF,543,17-06-2023
February,2022,ATF,435,17-06-2023
January,2022,ATF,456,17-06-2023
December,2021,ATF,552,17-06-2023
November,2021,ATF,504,17-06-2023
October,2021,ATF,479,17-06-2023
September,2021,ATF,409,17-06-2023
August,2021,ATF,379,17-06-2023
July,2021,ATF,315,17-06-2023
June,2021,ATF,257,17-06-2023
May,2021,ATF,268,17-06-2023
April,2021,ATF,412,17-06-2023
March,2021,ATF,474,17-06-2023
February,2021,ATF,432,17-06-2023
January,2021,ATF,441,17-06-2023
December,2020,ATF,427,17-06-2023
November,2020,ATF,376,17-06-2023
October,2020,ATF,360,17-06-2023
September,2020,ATF,313,17-06-2023
August,2020,ATF,256,17-06-2023
July,2020,ATF,233,17-06-2023
June,2020,ATF,222,17-06-2023
May,2020,ATF,110,17-06-2023
April,2020,ATF,55,17-06-2023
February,2023,Bitumen,801.1,17-06-2023
January,2023,Bitumen,658.71,17-06-2023
December,2022,Bitumen,716.7,17-06-2023
November,2022,Bitumen,845.25,17-06-2023
October,2022,Bitumen,590.08,17-06-2023
September,2022,Bitumen,362.76,17-06-2023
August,2022,Bitumen,316.36,17-06-2023
July,2022,Bitumen,340.91,17-06-2023
June,2022,Bitumen,689.77,17-06-2023
May,2022,Bitumen,734.11,17-06-2023
April,2022,Bitumen,801.01,17-06-2023
March,2022,Bitumen,943,17-06-2023
February,2022,Bitumen,884,17-06-2023
January,2022,Bitumen,826,17-06-2023
December,2021,Bitumen,772,17-06-2023
November,2021,Bitumen,547,17-06-2023
October,2021,Bitumen,660,17-06-2023
September,2021,Bitumen,397,17-06-2023
August,2021,Bitumen,312,17-06-2023
July,2021,Bitumen,435,17-06-2023
June,2021,Bitumen,570,17-06-2023
May,2021,Bitumen,653,17-06-2023
April,2021,Bitumen,818,17-06-2023
March,2021,Bitumen,1012,17-06-2023
February,2021,Bitumen,853,17-06-2023
January,2021,Bitumen,821,17-06-2023
December,2020,Bitumen,856,17-06-2023
November,2020,Bitumen,717,17-06-2023
October,2020,Bitumen,640,17-06-2023
September,2020,Bitumen,415,17-06-2023
August,2020,Bitumen,270,17-06-2023
July,2020,Bitumen,414,17-06-2023
June,2020,Bitumen,751,17-06-2023
